id,gender,masterCategory,subCategory,articleType,baseColour,usage
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Casual
39386,Men,Apparel,Bottomwear,Jeans,Blue,Casual
59263,Women,Accessories,Watches,Watches,Silver,Casual
21379,Men,Apparel,Bottomwear,Track Pants,Black,Casual
53759,Men,Apparel,Topwear,Tshirts,Grey,Casual
1855,Men,Apparel,Topwear,Tshirts,Grey,Casual
30805,Men,Apparel,Topwear,Shirts,Green,Ethnic
26960,Women,Apparel,Topwear,Shirts,Purple,Casual
30039,Men,Accessories,Watches,Watches,Black,Casual
9204,Men,Footwear,Shoes,Casual Shoes,Black,Casual
47957,Women,Accessories,Bags,Handbags,Blue,Casual
12369,Men,Apparel,Topwear,Shirts,Purple,Formal
29928,Men,Accessories,Watches,Watches,Black,Casual
42419,Girls,Apparel,Topwear,Tops,White,Casual
47359,Women,Accessories,Bags,Handbags,Brown,Casual
17429,Men,Accessories,Watches,Watches,Black,Casual
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Sports
9036,Men,Footwear,Shoes,Formal Shoes,Black,Formal
48311,Women,Accessories,Jewellery,Bracelet,Bronze,Casual
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Sports
21977,Women,Accessories,Bags,Handbags,Brown,Casual
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Formal
4729,Boys,Apparel,Topwear,Tshirts,Green,Casual
56825,Men,Apparel,Topwear,Shirts,Brown,Casual
39988,Men,Footwear,Shoes,Casual Shoes,White,Casual
59051,Women,Footwear,Shoes,Flats,Black,Casual
58183,Women,Accessories,Bags,Handbags,White,Casual
29742,Women,Accessories,Bags,Handbags,Teal,Casual
51658,Women,Accessories,Watches,Watches,Copper,Casual
3954,Women,Apparel,Topwear,Tshirts,Pink,Casual
2886,Women,Footwear,Shoes,Flats,Brown,Casual
23278,Men,Accessories,Watches,Watches,Off White,Casual
3168,Men,Footwear,Shoes,Sports Shoes,White,Sports
18005,Men,Apparel,Bottomwear,Shorts,Black,Sports
9452,Men,Apparel,Topwear,Shirts,Red,Formal
44984,Women,Accessories,Watches,Watches,White,Casual
10268,Men,Footwear,Shoes,Formal Shoes,Black,Formal
59435,Men,Footwear,Shoes,Formal Shoes,Black,Formal
5891,Men,Apparel,Topwear,Tshirts,Black,Casual
38630,Women,Apparel,Topwear,Tshirts,Purple,Casual
4943,Men,Apparel,Topwear,Shirts,White,Casual
11188,Men,Accessories,Watches,Watches,Silver,Casual
10866,Men,Apparel,Topwear,Tshirts,Red,Casual
15528,Men,Apparel,Topwear,Tshirts,Black,Casual
45258,Men,Accessories,Watches,Watches,Black,Casual
42841,Women,Accessories,Bags,Handbags,Beige,Casual
22198,Men,Footwear,Shoes,Casual Shoes,Black,Casual
29570,Men,Footwear,Shoes,Casual Shoes,Purple,Casual
6628,Men,Footwear,Shoes,Sports Shoes,White,Sports
54924,Men,Apparel,Bottomwear,Shorts,Blue,Casual
26538,Men,Footwear,Shoes,Casual Shoes,Red,Casual
35913,Women,Accessories,Bags,Handbags,Black,Casual
49495,Men,Footwear,Shoes,Casual Shoes,Khaki,Casual
9660,Men,Apparel,Topwear,Shirts,Pink,Casual
2288,Women,Apparel,Topwear,Tshirts,Black,Sports
23876,Men,Apparel,Topwear,Sweatshirts,Blue,Casual
18237,Men,Apparel,Topwear,Tshirts,Red,Casual
54118,Women,Footwear,Shoes,Heels,Black,Casual
2872,Women,Footwear,Shoes,Heels,Brown,Casual
49653,Women,Apparel,Topwear,Tops,Green,Casual
16957,Men,Accessories,Eyewear,Sunglasses,Black,Casual
13419,Men,Apparel,Topwear,Tshirts,Pink,Casual
48781,Women,Accessories,Jewellery,Pendant,Silver,Casual
44970,Men,Accessories,Watches,Watches,White,Casual
39524,Unisex,Accessories,Bags,Laptop Bag,Orange,Casual
33822,Men,Footwear,Shoes,Sports Shoes,White,Sports
58513,Women,Apparel,Topwear,Tops,Off White,Casual
25947,Women,Accessories,Scarves,Scarves,Brown,Casual
5865,Men,Apparel,Topwear,Tshirts,Black,Casual
39716,Women,Apparel,Dress,Dresses,Blue,Casual
29584,Men,Apparel,Topwear,Tshirts,Black,Casual
28456,Women,Apparel,Bottomwear,Skirts,Blue,Sports
34009,Girls,Apparel,Topwear,Tops,Black,Casual
19311,Men,Footwear,Shoes,Casual Shoes,White,Casual
42089,Men,Footwear,Shoes,Sports Shoes,White,Sports
22950,Unisex,Accessories,Watches,Watches,Black,Casual
49461,Men,Footwear,Shoes,Casual Shoes,Blue,Casual
9694,Men,Apparel,Topwear,Tshirts,White,Casual
23882,Men,Footwear,Shoes,Sports Shoes,Grey,Sports
34835,Men,Footwear,Shoes,Sports Shoes,Blue,Sports
15984,Men,Apparel,Topwear,Shirts,Yellow,Casual
11518,Women,Footwear,Shoes,Heels,Grey,Casual
59297,Men,Apparel,Topwear,Shirts,White,Casual
27846,Women,Apparel,Topwear,Blazers,Charcoal,Formal
26994,Women,Apparel,Bottomwear,Jeans,Black,Casual
31923,Women,Accessories,Bags,Handbags,Blue,Casual
2618,Women,Footwear,Shoes,Flats,Silver,Casual
49005,Women,Accessories,Jewellery,Ring,Silver,Casual
8322,Boys,Apparel,Topwear,Tshirts,Blue,Casual
13841,Unisex,Accessories,Watches,Watches,White,Casual
28200,Men,Accessories,Eyewear,Sunglasses,Copper,Casual
12993,Unisex,Footwear,Shoes,Sports Shoes,Black,Sports
7158,Men,Apparel,Topwear,Shirts,Green,Casual
8110,Men,Accessories,Watches,Watches,Black,Casual
19547,Men,Apparel,Topwear,Sweatshirts,Blue,Casual
7964,Men,Apparel,Topwear,Tshirts,Black,Sports
20851,Women,Accessories,Bags,Clutches,Red,Casual
58177,Women,Accessories,Bags,Handbags,Brown,Casual
16392,Men,Apparel,Topwear,Shirts,Red,Casual
51455,Women,Apparel,Topwear,Shrug,Pink,Casual
17240,Men,Apparel,Topwear,Tshirts,Black,Casual
47530,Women,Footwear,Shoes,Flats,Copper,Casual
6617,Men,Apparel,Topwear,Shirts,Black,Casual
12732,Unisex,Accessories,Bags,Backpacks,Black,Sports
3365,Men,Apparel,Topwear,Tshirts,Black,Casual
42042,Men,Footwear,Shoes,Sports Shoes,White,Sports
23849,Men,Footwear,Shoes,Casual Shoes,Black,Casual
43190,Women,Accessories,Watches,Watches,White,Casual
48578,Men,Accessories,Jewellery,Bracelet,Steel,Casual
54127,Women,Footwear,Shoes,Heels,Black,Casual
10065,Men,Apparel,Topwear,Tshirts,Yellow,Casual
24250,Men,Footwear,Shoes,Casual Shoes,White,Casual
32335,Men,Accessories,Watches,Watches,Silver,Casual
